,snr,ch,packet,nn_loss,bl_loss
827,16.0,B,827,0.0119,0.01474
2211,32.0,F,2211,0.07547,0.05798
7087,20.0,F,7087,0.00725,0.10415
3425,24.0,A,3425,0.03859,0.00324
4615,36.0,D,4615,0.00273,0.00116
7707,12.0,A,7707,0.23692,0.02973
1399,16.0,E,1399,0.00308,0.00735
8780,24.0,B,8780,0.00157,0.00424
9927,40.0,F,9927,0.02006,0.00488
2650,36.0,B,2650,0.09872,0.00016
2546,20.0,E,2546,0.00909,0.01356
5263,24.0,F,5263,0.00673,0.03129
9607,36.0,F,9607,0.00656,0.06186
5278,16.0,B,5278,0.03022,0.01256
3536,32.0,B,3536,0.00089,0.00044
7843,24.0,D,7843,0.008,0.0123
3751,24.0,B,3751,0.02819,0.00274
8995,36.0,C,8995,0.00271,0.00021
7732,28.0,C,7732,0.00498,0.00323
7081,12.0,B,7081,0.08484,0.04377
5796,40.0,D,5796,0.01371,0.00229
7821,32.0,D,7821,0.00567,0.00083
2029,28.0,F,2029,0.08224,0.03223
2679,32.0,F,2679,0.0172,0.02833
4932,24.0,B,4932,0.04918,0.00144
8370,16.0,E,8370,0.05328,0.0372
9114,28.0,E,9114,0.00356,0.00988
7570,32.0,A,7570,0.01964,0.00043
2994,24.0,E,2994,0.00649,0.01142
5794,24.0,C,5794,0.01962,0.00324
1614,28.0,E,1614,0.02175,0.01361
2223,16.0,A,2223,0.20175,0.01657
9983,28.0,C,9983,0.09809,0.00102
8691,16.0,B,8691,0.11143,0.01876
2890,20.0,A,2890,0.0138,0.00348
1449,24.0,A,1449,0.01597,0.00107
1273,24.0,F,1273,0.00888,0.01944
3559,12.0,C,3559,0.00484,0.05104
5159,40.0,E,5159,0.01873,0.00338
2105,24.0,C,2105,0.00843,0.00446
1128,20.0,E,1128,0.0091,0.00944
8372,28.0,D,8372,0.01456,0.00492
9318,32.0,E,9318,0.03337,0.01116
5091,36.0,F,5091,0.04115,0.00701
1076,28.0,A,1076,0.03875,0.00077
5956,12.0,C,5956,0.00845,0.02014
8680,16.0,D,8680,0.02978,0.01553
7203,12.0,C,7203,0.02491,0.02489
9172,32.0,E,9172,0.01029,0.0037
6998,36.0,D,6998,0.07355,0.00173
6754,20.0,B,6754,0.00846,0.00739
8887,32.0,F,8887,0.1053,0.08155
8207,36.0,B,8207,0.09696,0.00058
3180,20.0,D,3180,0.01415,0.00697
9490,32.0,B,9490,0.00545,0.00156
2728,20.0,F,2728,0.05895,0.03474
2738,20.0,A,2738,0.04674,0.00356
8124,40.0,A,8124,0.01739,3e-05
921,40.0,F,921,0.13302,0.01354
2728,36.0,A,2728,0.00913,0.0002
3831,16.0,D,3831,0.01579,0.02056
8243,20.0,B,8243,0.02614,0.00631
1579,36.0,C,1579,0.04411,0.00528
1494,24.0,A,1494,0.03251,0.00231
6007,32.0,A,6007,0.0101,0.00018
2461,20.0,B,2461,0.0115,0.00564
5029,36.0,E,5029,0.00364,0.0079
8710,40.0,A,8710,0.03051,4e-05
5270,36.0,F,5270,0.00776,0.00593
1344,16.0,D,1344,0.01236,0.02504
3745,20.0,D,3745,0.0144,0.01979
4703,12.0,E,4703,0.00442,0.03147
6662,16.0,C,6662,0.00356,0.01368
9331,16.0,F,9331,0.20885,0.06027
863,16.0,B,863,0.00232,0.00691
2033,24.0,A,2033,0.01533,0.00128
3955,12.0,F,3955,0.15559,0.14583
4260,40.0,D,4260,0.12041,0.00053
811,20.0,B,811,0.00064,0.00402
7596,16.0,B,7596,0.16041,0.00846
7420,36.0,D,7420,0.00793,0.00345
7427,32.0,A,7427,0.02318,0.00016
5826,16.0,C,5826,0.14759,0.01051
1604,32.0,B,1604,0.01223,0.00077
2568,16.0,C,2568,0.01699,0.01037
1426,40.0,C,1426,0.04733,0.00022
6848,20.0,D,6848,0.00745,0.00915
4201,32.0,C,4201,0.00315,0.00129
8727,16.0,F,8727,0.09322,0.0405
5559,20.0,F,5559,0.15067,0.03892
3821,16.0,D,3821,0.02383,0.01794
6915,36.0,A,6915,0.0236,0.00015
2452,36.0,E,2452,0.00585,0.00495
7996,24.0,E,7996,0.00257,0.01663
3878,24.0,C,3878,0.00506,0.00899
9223,36.0,D,9223,0.01572,0.00062
4622,32.0,C,4622,0.00671,0.00068
746,40.0,B,746,0.01685,0.00097
6958,36.0,C,6958,0.05116,0.00316
9837,36.0,D,9837,0.00396,0.00196
7835,28.0,B,7835,0.00847,0.00097
5635,20.0,D,5635,0.0161,0.00931
274,20.0,E,274,0.02751,0.04694
1842,32.0,D,1842,0.03227,0.00056
5555,16.0,E,5555,0.00903,0.04342
1011,24.0,D,1011,0.01361,0.00393
9959,16.0,D,9959,0.0215,0.02399
1381,36.0,D,1381,0.05398,0.0129
1040,12.0,E,1040,0.01198,0.0371
5124,28.0,B,5124,0.00787,0.00401
7105,28.0,C,7105,0.05083,0.01245
5574,20.0,B,5574,0.01017,0.00612
5311,36.0,C,5311,0.03261,0.002
9356,20.0,E,9356,0.00215,0.01218
1897,24.0,F,1897,0.01366,0.03081
8983,32.0,D,8983,0.10265,0.01455
4261,32.0,D,4261,0.01259,0.02493
1203,40.0,D,1203,0.003,0.00453
3097,20.0,A,3097,0.03036,0.00316
6970,28.0,B,6970,0.03945,0.00106
8444,40.0,C,8444,0.00063,0.00029
3670,28.0,C,3670,0.00159,0.00053
8986,36.0,F,8986,0.01742,0.02537
3662,40.0,A,3662,0.01021,4e-05
4901,36.0,B,4901,0.0064,0.00026
9525,32.0,E,9525,0.00174,0.00609
149,20.0,D,149,0.03194,0.00671
1103,36.0,F,1103,0.00422,0.025
9944,28.0,A,9944,0.02609,0.00063
6142,16.0,E,6142,0.00372,0.02152
8147,36.0,C,8147,0.00039,0.0002
4460,36.0,F,4460,0.00548,0.02975
3807,32.0,D,3807,0.00042,0.00113
825,12.0,D,825,0.00203,0.03534
9885,20.0,F,9885,0.1671,0.06179
2193,32.0,C,2193,0.33269,0.00036
7555,16.0,A,7555,0.11103,0.01219
754,24.0,F,754,0.01314,0.03147
7738,16.0,B,7738,0.56727,0.01747
2485,24.0,E,2485,0.02765,0.00997
9037,36.0,E,9037,0.00666,0.04976
939,12.0,A,939,0.23999,0.02406
7463,24.0,E,7463,0.00784,0.00308
9418,20.0,D,9418,0.01075,0.01851
864,20.0,B,864,0.03136,0.00464
1843,16.0,F,1843,0.01254,0.03486
7578,28.0,B,7578,0.00723,0.00113
